37750000,37701000,85
37750000,37130000,33
37750000,13010000,250
37750000,01000000,320
37750000,20000000,420
37750000,80010000,700
37750000,30140000,360
37750000,38400000,480
37750000,88010000,980
37701000,37130000,120
37701000,13010000,200
37701000,01000000,260
37701000,20000000,400
37701000,80010000,680
37701000,30140000,330
37701000,38400000,460
37701000,88010000,950
37130000,13010000,190
37130000,01000000,250
37130000,20000000,420
37130000,80010000,710
37130000,30140000,340
37130000,38400000,450
37130000,88010000,940
13010000,01000000,90
13010000,20000000,430
13010000,80010000,680
13010000,30140000,490
13010000,38400000,540
13010000,88010000,890
01000000,20000000,430
01000000,80010000,680
01000000,30140000,440
01000000,38400000,550
01000000,88010000,850
20000000,80010000,850
20000000,30140000,440
20000000,38400000,580
20000000,88010000,760
80010000,30140000,830
80010000,38400000,790
80010000,88010000,300
30140000,38400000,540
30140000,88010000,880
38400000,88010000,1180
